Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
6-January-2015,19-January-2015,415.8,384.8,372.55,415.8,1239413,539344,415252,1371679
20-January-2015,3-February-2015,386.7,380.95,378.7,411.4,1105460,896386,563629,2051801
4-February-2015,18-February-2015,383.6,367.2,345.1,393.25,658916,448771,427655,1249371
19-February-2015,3-March-2015,369.8,353.5,344.95,381.65,985363,947865,421042,1708035
4-March-2015,18-March-2015,356.0,331.85,323.5,357.0,903641,459749,459749,1139329
19-March-2015,1-April-2015,334.1,324.0,311.3,344.7,1065861,650669,525544,1172104
6-April-2015,20-April-2015,324.1,344.35,317.0,354.2,591976,862965,468767,1191488
21-April-2015,5-May-2015,346.0,379.2,341.55,380.0,739772,1105081,509308,1765137
6-May-2015,19-May-2015,380.0,368.15,352.0,384.2,1087960,543799,360832,1284378
20-May-2015,2-June-2015,367.8,321.65,320.5,368.15,995120,510950,321017,1391813
3-June-2015,16-June-2015,323.0,294.45,291.15,323.55,509116,845901,509116,1106490
17-June-2015,30-June-2015,304.2,304.7,287.55,316.6,1620089,579432,451647,1620089
1-July-2015,14-July-2015,305.5,281.7,279.0,310.3,469896,561904,469896,1446189
15-July-2015,28-July-2015,283.0,249.35,246.65,287.7,564323,1073791,546039,1428378
29-July-2015,11-August-2015,251.9,246.9,245.25,268.2,687885,1573019,621156,1994030
12-August-2015,25-August-2015,254.0,214.15,200.4,257.9,2926040,2622801,1068341,3304580
26-August-2015,8-September-2015,214.0,228.8,209.05,234.6,1581868,1689465,904645,1920355
9-September-2015,23-September-2015,236.2,221.1,214.0,243.9,1671661,1428009,868486,1783463
24-September-2015,9-October-2015,220.0,250.75,200.0,251.25,874534,2008366,874534,3335005
12-October-2015,26-October-2015,254.7,249.45,238.25,261.95,1678346,680444,680444,1678346
27-October-2015,9-November-2015,249.45,222.15,213.0,254.75,587821,1411587,526325,1862829
10-November-2015,24-November-2015,221.95,224.35,216.85,235.8,897038,657004,247816,1283137
26-November-2015,9-December-2015,224.6,226.85,224.3,247.3,583931,906515,526222,1426307
10-December-2015,23-December-2015,225.7,263.7,225.7,266.25,928471,1270019,670255,1693286
24-December-2015,7-January-2016,265.0,250.1,248.3,276.2,738705,1538293,661421,2624152
8-January-2016,21-January-2016,251.95,234.55,225.3,256.25,1096956,924204,923596,1501750
22-January-2016,5-February-2016,238.0,234.0,215.0,259.95,967862,3764402,480329,3764402
8-February-2016,19-February-2016,237.0,253.25,211.3,256.5,1418720,904711,883942,2689462
22-February-2016,4-March-2016,254.5,288.35,243.4,291.2,651179,1277979,651179,2531255
8-March-2016,21-March-2016,288.75,302.9,281.3,305.7,1266789,672243,672243,1435597
22-March-2016,6-April-2016,304.5,328.45,297.75,331.9,1025169,2208652,598901,2208652
7-April-2016,25-April-2016,330.0,347.55,318.25,364.15,1267575,823947,743645,2484639
